2025-03-20 10:36:55.195 |  | INFO     | server:lifespan:34 - RuoYi-FastAPI开始启动
2025-03-20 10:36:55.196 |  | INFO     | config.get_db:init_create_table:21 - 初始化数据库连接...
2025-03-20 11:36:22.091 |  | INFO     | server:lifespan:34 - RuoYi-FastAPI开始启动
2025-03-20 11:36:22.092 |  | INFO     | config.get_db:init_create_table:21 - 初始化数据库连接...
2025-03-20 11:36:22.238 |  | INFO     | config.get_db:init_create_table:24 - 数据库连接成功
2025-03-20 11:36:22.239 |  | INFO     | config.get_redis:create_redis_pool:22 - 开始连接redis...
2025-03-20 11:36:22.240 |  | ERROR    | config.get_redis:create_redis_pool:43 - redis连接错误，详细错误信息：Error 61 connecting to 127.0.0.1:6379. Connection refused.
2025-03-20 12:06:21.585 |  | INFO     | server:lifespan:34 - RuoYi-FastAPI开始启动
2025-03-20 12:06:21.593 |  | INFO     | config.get_db:init_create_table:21 - 初始化数据库连接...
2025-03-20 12:06:21.709 |  | INFO     | config.get_db:init_create_table:24 - 数据库连接成功
2025-03-20 12:06:21.709 |  | INFO     | config.get_redis:create_redis_pool:22 - 开始连接redis...
2025-03-20 12:06:21.710 |  | INFO     | config.get_redis:create_redis_pool:35 - redis连接成功
2025-03-20 12:06:21.732 |  | INFO     | config.get_scheduler:init_system_scheduler:134 - 开始启动定时任务...
2025-03-20 12:06:21.816 |  | INFO     | config.get_scheduler:init_system_scheduler:142 - 系统初始定时任务加载成功
2025-03-20 12:06:21.817 |  | INFO     | server:lifespan:41 - RuoYi-FastAPI启动成功
2025-03-20 14:33:26.956 | fa90786200504dbd9ebc9aea6c1ef13c | INFO     | module_admin.controller.captcha_controller:get_captcha_image:34 - 编号为12114694-cb5c-4c58-b444-df22a787a2b7的会话获取图片验证码成功
2025-03-20 14:34:24.950 | ede758c78ad044238c90e08a5a659c22 | WARNING  | module_admin.service.login_service:authenticate_user:98 - 用户不存在
2025-03-20 14:34:24.950 | ede758c78ad044238c90e08a5a659c22 | WARNING  | module_admin.annotation.log_annotation:wrapper:123 - 用户不存在
2025-03-20 14:34:26.561 | ff685ae791b24845bc033e839187b18d | WARNING  | module_admin.service.login_service:authenticate_user:98 - 用户不存在
2025-03-20 14:34:26.562 | ff685ae791b24845bc033e839187b18d | WARNING  | module_admin.annotation.log_annotation:wrapper:123 - 用户不存在
2025-03-20 17:31:49.297 |  | INFO     | server:lifespan:34 - RuoYi-FastAPI开始启动
2025-03-20 17:31:49.304 |  | INFO     | config.get_db:init_create_table:21 - 初始化数据库连接...
2025-03-20 17:31:49.682 |  | INFO     | config.get_db:init_create_table:24 - 数据库连接成功
2025-03-20 17:31:49.683 |  | INFO     | config.get_redis:create_redis_pool:22 - 开始连接redis...
2025-03-20 17:31:49.758 |  | INFO     | config.get_redis:create_redis_pool:35 - redis连接成功
2025-03-20 17:31:49.887 |  | INFO     | config.get_scheduler:init_system_scheduler:134 - 开始启动定时任务...
2025-03-20 17:31:50.003 |  | INFO     | config.get_scheduler:init_system_scheduler:142 - 系统初始定时任务加载成功
2025-03-20 17:31:50.004 |  | INFO     | server:lifespan:41 - RuoYi-FastAPI启动成功
